District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,01
State Total,1601606,173905,10.86%,65904,4.11%,139408,8.7%,5511,0.34%,319404,19.94%,8254,0.52%,30574,1.91%,1080174,67.44%,232753,14.53%,288670,18.02%,296066,18.49%,193030,12.05%,127857,7.98%,4302,0.27%,59037,3.69%,1834,0.11%,288433,18.01%,15479,0.97%,1153745,72.04%,34011,2.12%,398371,24.87%,27566,1.72%,12472,0.78%,960244,59.96%,531380,33.18%,414045,25.85%,53516,3.34%,2396,0.15%,2303,0.14%,01
Kupwara (01),107636,12045,11.19%,2391,2.22%,9107,8.46%,695,0.65%,20616,19.15%,300,0.28%,635,0.59%,78545,72.97%,11960,11.11%,17122,15.91%,19034,17.68%,8157,7.58%,3956,3.68%,310,0.29%,3788,3.52,103,0.1%,5099,4.74%,937,0.87%,75663,70.3%,1308,1.22%,29728,27.62%,1198,1.11%,410,0.38%,72197,67.08%,15356,14.27%,52317,48.61%,1112,1.03%,97,0.09%,96,0.09%,01
Badgam (02),97773,14630,14.96%,1779,1.82%,5873,6.01%,535,0.55%,17772,18.18%,382,0.39%,1556,1.59%,67264,68.8%,14251,14.58%,16258,16.63%,16844,17.23%,9638,9.86%,3934,4.02%,500,0.51%,5173,5.29,31,0.03%,9762,9.98%,343,0.35%,76804,78.55%,2220,2.27%,18406,18.83%,1161,1.19%,348,0.36%,47158,48.23%,35221,36.02%,29678,30.35%,1145,1.17%,147,0.15%,69,0.07%,01
Leh(Ladakh) (03),17723,905,5.11%,686,3.87%,363,2.05%,33,0.19%,7049,39.77%,198,1.12%,420,2.37%,7584,42.79%,3879,21.89%,6260,35.32%,6517,36.77%,9148,51.62%,7946,44.83%,103,0.58%,1082,6.11,17,0.1%,1038,5.86%,1991,11.23%,7346,41.45%,1854,10.46%,6532,36.86%,482,2.72%,299,1.69%,6301,35.55%,1948,10.99%,10934,61.69%,181,1.02%,97,0.55%,167,0.94%,01
Kargil (04),15923,1136,7.13%,444,2.79%,236,1.48%,94,0.59%,4939,31.02%,116,0.73%,102,0.64%,8054,50.58%,4161,26.13%,3708,23.29%,4646,29.18%,5526,34.7%,4710,29.58%,197,1.24%,569,3.57,50,0.31%,620,3.89%,1246,7.83%,6837,42.94%,685,4.3%,7155,44.93%,90,0.57%,67,0.42%,4885,30.68%,4812,30.22%,7014,44.05%,64,0.4%,19,0.12%,26,0.16%,01
Punch (05),81685,2991,3.66%,5650,6.92%,7389,9.05%,294,0.36%,11905,14.57%,168,0.21%,704,0.86%,60811,74.45%,10146,12.42%,10728,13.13%,10910,13.36%,2880,3.53%,1630,2%,101,0.12%,1015,1.24,134,0.16%,4330,5.3%,1406,1.72%,48298,59.13%,1185,1.45%,30796,37.7%,1016,1.24%,419,0.51%,68150,83.43%,45161,55.29%,30153,36.91%,2998,3.67%,290,0.36%,72,0.09%,01
Rajouri (06),127822,1960,1.53%,8545,6.69%,13492,10.56%,255,0.2%,25038,19.59%,352,0.28%,698,0.55%,94087,73.61%,11901,9.31%,21834,17.08%,23060,18.04%,7695,6.02%,4916,3.85%,82,0.06%,2650,2.07,47,0.04%,22039,17.24%,1411,1.1%,83296,65.17%,1524,1.19%,41591,32.54%,3654,2.86%,1306,1.02%,114020,89.2%,44177,34.56%,29344,22.96%,2735,2.14%,164,0.13%,71,0.06%,01
Kathua (07),99768,15129,15.16%,5260,5.27%,10426,10.45%,314,0.31%,21600,21.65%,465,0.47%,2833,2.84%,63374,63.52%,16296,16.33%,20098,20.14%,20091,20.14%,17498,17.54%,14697,14.73%,244,0.24%,2521,2.53,36,0.04%,37872,37.96%,1020,1.02%,77991,78.17%,3049,3.06%,17708,17.75%,2169,2.17%,1064,1.07%,51709,51.83%,27059,27.12%,8877,8.9%,5131,5.14%,168,0.17%,121,0.12%,01
Baramula (08),123540,21241,17.19%,2296,1.86%,10133,8.2%,425,0.34%,23962,19.4%,539,0.44%,1401,1.13%,81531,66%,20222,16.37%,21787,17.64%,22507,18.22%,10742,8.7%,3571,2.89%,278,0.23%,6684,5.41,209,0.17%,9665,7.82%,536,0.43%,98753,79.94%,2042,1.65%,22209,17.98%,2741,2.22%,696,0.56%,78643,63.66%,20709,16.76%,47458,38.42%,2490,2.02%,79,0.06%,57,0.05%,01
Bandipore (09),47848,6447,13.47%,1099,2.3%,4263,8.91%,214,0.45%,8885,18.57%,168,0.35%,403,0.84%,32443,67.8%,7241,15.13%,8164,17.06%,8293,17.33%,5231,10.93%,2655,5.55%,217,0.45%,1616,3.38,743,1.55%,2829,5.91%,381,0.8%,30913,64.61%,643,1.34%,15911,33.25%,511,1.07%,276,0.58%,21128,44.16%,7979,16.68%,18546,38.76%,1572,3.29%,102,0.21%,75,0.16%,01
