District Name,Total Households,Refrigerator,% Refrigerator,Telephone/Mobile phone - 1 = Landline only,Telephone/Mobile phone - % 1 = Landline only,Telephone/Mobile phone - 2 = Mobile only,Telephone/Mobile phone - % 2 = Mobile only,Telephone/Mobile phone - 3 = Both (Landline and Mobile),Telephone/Mobile phone - % 3 = Both (Landline and Mobile),Telephone/Mobile phone - 4 = NO,Telephone/Mobile phone - % 4 = NO,Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,% Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,State_Code
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,01
North Zone Total,9104338,4148545,45.57%,98041,1.08%,7255023,79.69%,432080,4.75%,1318615,14.48%,3132980,34.41%,01
State Total,1601606,288433,18.01%,15479,0.97%,1153745,72.04%,34011,2.12%,398371,24.87%,193030,12.05%,01
Kupwara (01),107636,5099,4.74%,937,0.87%,75663,70.3%,1308,1.22%,29728,27.62%,8157,7.58%,01
Badgam (02),97773,9762,9.98%,343,0.35%,76804,78.55%,2220,2.27%,18406,18.83%,9638,9.86%,01
Leh(Ladakh) (03),17723,1038,5.86%,1991,11.23%,7346,41.45%,1854,10.46%,6532,36.86%,9148,51.62%,01
Kargil (04),15923,620,3.89%,1246,7.83%,6837,42.94%,685,4.3%,7155,44.93%,5526,34.7%,01
Punch (05),81685,4330,5.3%,1406,1.72%,48298,59.13%,1185,1.45%,30796,37.7%,2880,3.53%,01
Rajouri (06),127822,22039,17.24%,1411,1.1%,83296,65.17%,1524,1.19%,41591,32.54%,7695,6.02%,01
Kathua (07),99768,37872,37.96%,1020,1.02%,77991,78.17%,3049,3.06%,17708,17.75%,17498,17.54%,01
Baramula (08),123540,9665,7.82%,536,0.43%,98753,79.94%,2042,1.65%,22209,17.98%,10742,8.7%,01
Bandipore (09),47848,2829,5.91%,381,0.8%,30913,64.61%,643,1.34%,15911,33.25%,5231,10.93%,01
Srinagar (10),4304,1263,29.34%,11,0.26%,3832,89.03%,72,1.67%,389,9.04%,885,20.56%,01
Ganderbal (11),40450,2897,7.16%,280,0.69%,32572,80.52%,703,1.74%,6895,17.05%,3572,8.83%,01
Pulwama (12),79308,7724,9.74%,305,0.38%,65061,82.04%,1958,2.47%,11984,15.11%,7987,10.07%,01
Shupiyan (13),42691,2152,5.04%,197,0.46%,33759,79.08%,651,1.52%,8084,18.94%,6137,14.38%,01
Anantnag (14),123476,6557,5.31%,519,0.42%,96255,77.95%,2013,1.63%,24689,19.99%,8766,7.1%,01
Kulgam (15),61426,1787,2.91%,163,0.27%,39147,63.73%,526,0.86%,21590,35.15%,3323,5.41%,01
Doda (16),74110,5780,7.8%,260,0.35%,55565,74.98%,524,0.71%,17761,23.97%,2382,3.21%,01
Ramban (17),55171,3008,5.45%,94,0.17%,31708,57.47%,290,0.53%,23079,41.83%,1068,1.94%,01
