District Name,Total Households,Number of SC Households,% of SC Households,Number of ST Households,% of ST Households,Number of Others Households,% of Others Households,Number of No Caste & Tribe Households,% No Caste & Tribe Households,State_Code
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,01
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,01
State Total,1601606,156382,9.76%,240677,15.03%,1074710,67.1%,129759,8.1%,01
Kupwara (01),107636,237,0.22%,8420,7.82%,82067,76.24%,16911,15.71%,01
Badgam (02),97773,101,0.1%,3221,3.29%,66807,68.33%,27644,28.27%,01
Leh(Ladakh) (03),17723,6,0.03%,16515,93.18%,89,0.5%,1113,6.28%,01
Kargil (04),15923,5,0.03%,15310,96.15%,77,0.48%,531,3.33%,01
Punch (05),81685,56,0.07%,32544,39.84%,47376,58%,1648,2.02%,01
Rajouri (06),127822,11669,9.13%,50175,39.25%,65231,51.03%,734,0.57%,01
Kathua (07),99768,22946,23%,7836,7.85%,52513,52.64%,16473,16.51%,01
Baramula (08),123540,31,0.03%,4212,3.41%,116778,94.53%,2519,2.04%,01
Bandipore (09),47848,202,0.42%,10937,22.86%,35911,75.05%,798,1.67%,01
Srinagar (10),4304,1,0.02%,310,7.2%,538,12.5%,3455,80.27%,01
Ganderbal (11),40450,57,0.14%,8958,22.15%,29644,73.29%,1791,4.43%,01
Pulwama (12),79308,245,0.31%,3658,4.61%,56074,70.7%,19329,24.37%,01
Shupiyan (13),42691,57,0.13%,749,1.75%,39490,92.5%,2395,5.61%,01
Anantnag (14),123476,405,0.33%,15430,12.5%,79480,64.37%,28161,22.81%,01
Kulgam (15),61426,122,0.2%,4188,6.82%,55632,90.57%,1484,2.42%,01
Doda (16),74110,10456,14.11%,6957,9.39%,55418,74.78%,1279,1.73%,01
Ramban (17),55171,2869,5.2%,8489,15.39%,43751,79.3%,62,0.11%,01
Kishtwar (18),42273,2292,5.42%,6610,15.64%,32100,75.93%,1271,3.01%,01
Udhampur (19),79845,21706,27.19%,8773,10.99%,47546,59.55%,1819,2.28%,01
Reasi (20),52339,6112,11.68%,15926,30.43%,30198,57.7%,103,0.2%,01
Jammu (21),170917,60162,35.2%,8345,4.88%,102304,59.86%,106,0.06%,01
Samba (22),55578,16645,29.95%,3114,5.6%,35686,64.21%,133,0.24%,01
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,02
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,02
State Total,1263756,302876,23.97%,77392,6.12%,862906,68.28%,20542,1.63%,02
Chamba (01),92274,18943,20.53%,25421,27.55%,43721,47.38%,4184,4.53%,02
Kangra (02),309461,62601,20.23%,17058,5.51%,228442,73.82%,1339,0.43%,02
LahulSpiti (03),6177,508,8.22%,5263,85.2%,303,4.91%,103,1.67%,02
Kullu (04),79798,22387,28.05%,3181,3.99%,53672,67.26%,558,0.7%,02
Mandi (05),198952,55410,27.85%,2556,1.28%,135217,67.96%,5764,2.9%,02
Hamirpur (06),96745,22157,22.9%,775,0.8%,73528,76%,283,0.29%,02
Una (07),97451,21981,22.56%,1912,1.96%,72812,74.72%,746,0.77%,02
Bilaspur (08),70768,17498,24.73%,1882,2.66%,51067,72.16%,321,0.45%,02
Solan (09),90043,24878,27.63%,4153,4.61%,58544,65.02%,2468,2.74%,02
Sirmaur (10),82214,22528,27.4%,1636,1.99%,57011,69.34%,1039,1.26%,02
Shimla (11),121586,30984,25.48%,1125,0.93%,86472,71.12%,2998,2.47%,02
Kinnaur (12),18287,3001,16.41%,12430,67.97%,2117,11.58%,739,4.04%,02
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,03
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,03
State Total,3269467,1201439,36.75%,160,0%,2041181,62.43%,26687,0.82%,03
Gurdaspur (01),297035,72746,24.49%,10,0%,218275,73.48%,6004,2.02%,03
Kapurthala (02),104862,40165,38.3%,0,0%,64096,61.12%,601,0.57%,03
Jalandhar (03),214994,109399,50.88%,0,0%,103954,48.35%,1641,0.76%,03
Hoshiarpur (04),263563,97273,36.91%,24,0.01%,164698,62.49%,1568,0.59%,03
Shahid Bhagat Singh Nagar (05),103553,44476,42.95%,1,0%,58940,56.92%,136,0.13%,03
Fatehgarh Sahib (06),76287,28256,37.04%,1,0%,47741,62.58%,289,0.38%,03
Ludhiana (07),269447,104045,38.61%,77,0.03%,164217,60.95%,1108,0.41%,03
Moga (08),143743,54942,38.22%,5,0%,88336,61.45%,460,0.32%,03
Firozpur (09),270011,133265,49.36%,11,0%,136479,50.55%,256,0.09%,03
Muktsar (10),123773,55166,44.57%,0,0%,68117,55.03%,490,0.4%,03
Faridkot (11),74717,30670,41.05%,0,0%,43916,58.78%,131,0.18%,03
Bathinda (12),159138,59669,37.5%,0,0%,98704,62.02%,765,0.48%,03
Mansa (13),114443,43579,38.08%,0,0%,70629,61.72%,235,0.21%,03
Patiala (14),213729,67159,31.42%,0,0%,146253,68.43%,317,0.15%,03
Amritsar (15),206172,60101,29.15%,5,0%,137852,66.86%,8214,3.98%,03
Tarn Taran (16),165688,53538,32.31%,0,0%,111267,67.15%,883,0.53%,03
Rupnagar (17),94482,25660,27.16%,25,0.03%,67482,71.42%,1315,1.39%,03
Sahibzada Ajit Singh Nagar (18),85222,25419,29.83%,0,0%,58175,68.26%,1628,1.91%,03
Sangrur (19),214234,70372,32.85%,1,0%,143254,66.87%,607,0.28%,03
Barnala (20),74374,25539,34.34%,0,0%,48796,65.61%,39,0.05%,03
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,04
