District Name,Total Population,1 = No. of Illiterates,% 1 = Illiterates,2 = No. of Literates but below primary,% 2 = Literates but below primary,3 = No. of Primary,% 3 = Primary,4 = No. of Middle,% 4 = Middle,5 = No. of Secondary,% 5 = Secondary,6 = No. of Higher Secondary,% 6 = Higher Secondary,7 = No. of Graduate or Higher,% 7 = Graduate or Higher,8 = No. of Other (Specify),% 8 = Other (Specify),State_Code
All India,886692406,316795697,35.73%,123835207,13.97%,157572788,17.77%,119909955,13.52%,85021861,9.59%,48018733,5.42%,30589123,3.45%,4744685,0.54%,01
North Zone Total,47662769,15663982,32.86%,4976876,10.44%,7640609,16.03%,6669481,13.99%,6633303,13.92%,3984533,8.36%,1767999,3.71%,325371,0.68%,01
State Total,8822753,3487110,39.52%,891698,10.11%,1176404,13.33%,1366971,15.49%,1021889,11.58%,537446,6.09%,285884,3.24%,55041,0.62%,01
Kupwara (01),674054,284695,42.24%,59075,8.76%,98727,14.65%,97036,14.4%,71424,10.6%,37060,5.5%,20086,2.98%,5951,0.88%,01
Badgam (02),670582,325224,48.5%,64803,9.66%,75016,11.19%,77236,11.52%,61129,9.12%,36701,5.47%,24152,3.6%,6321,0.94%,01
Leh(Ladakh) (03),91540,29403,32.12%,9380,10.25%,13233,14.46%,14817,16.19%,13207,14.43%,6964,7.61%,4269,4.66%,267,0.29%,01
Kargil (04),110791,37362,33.72%,11295,10.19%,17789,16.06%,18926,17.08%,14843,13.4%,8079,7.29%,2232,2.01%,265,0.24%,01
Punch (05),425695,158876,37.32%,54125,12.71%,68849,16.17%,65136,15.3%,41575,9.77%,24805,5.83%,10408,2.44%,1649,0.39%,01
Rajouri (06),605243,237146,39.18%,68449,11.31%,87808,14.51%,103547,17.11%,60076,9.93%,31144,5.15%,15040,2.48%,2004,0.33%,01
Kathua (07),522802,166753,31.9%,60971,11.66%,71061,13.59%,92220,17.64%,76229,14.58%,37311,7.14%,15957,3.05%,2299,0.44%,01
Baramula (08),753104,310196,41.19%,65094,8.64%,98006,13.01%,114537,15.21%,85451,11.35%,43725,5.81%,31069,4.13%,5026,0.67%,01
Bandipore (09),306346,140815,45.97%,29928,9.77%,41219,13.46%,40555,13.24%,28804,9.4%,14359,4.69%,9245,3.02%,1421,0.46%,01
Srinagar (10),27423,10633,38.77%,2040,7.44%,3211,11.71%,4653,16.97%,3660,13.35%,1935,7.06%,1065,3.88%,226,0.82%,01
Ganderbal (11),250302,110160,44.01%,23425,9.36%,34700,13.86%,34567,13.81%,25073,10.02%,12979,5.19%,7416,2.96%,1982,0.79%,01
Pulwama (12),443291,173015,39.03%,32406,7.31%,48909,11.03%,66100,14.91%,58426,13.18%,34501,7.78%,25496,5.75%,4433,1%,01
Shupiyan (13),243822,103510,42.45%,25156,10.32%,28164,11.55%,34966,14.34%,26398,10.83%,14759,6.05%,9189,3.77%,1680,0.69%,01
Anantnag (14),666691,285620,42.84%,60768,9.11%,78467,11.77%,102643,15.4%,71211,10.68%,36523,5.48%,25805,3.87%,5654,0.85%,01
Kulgam (15),334495,149679,44.75%,29005,8.67%,38987,11.66%,49006,14.65%,34306,10.26%,18044,5.39%,13107,3.92%,2361,0.71%,01
Doda (16),380715,157202,41.29%,40579,10.66%,44279,11.63%,58612,15.4%,42967,11.29%,26399,6.93%,9569,2.51%,1108,0.29%,01
Ramban (17),278459,139399,50.06%,33211,11.93%,34020,12.22%,33626,12.08%,20842,7.48%,11925,4.28%,4266,1.53%,1170,0.42%,01
Kishtwar (18),209262,98958,47.29%,24416,11.67%,24135,11.53%,26255,12.55%,17495,8.36%,12153,5.81%,3676,1.76%,2174,1.04%,01
Udhampur (19),460712,183003,39.72%,52784,11.46%,72658,15.77%,75723,16.44%,43880,9.52%,21416,4.65%,8633,1.87%,2612,0.57%,01
Reasi (20),280452,139797,49.85%,31778,11.33%,38349,13.67%,33961,12.11%,21255,7.58%,11690,4.17%,3180,1.13%,442,0.16%,01
Jammu (21),816469,185130,22.67%,86757,10.63%,121657,14.9%,168917,20.69%,149213,18.28%,69548,8.52%,30862,3.78%,4385,0.54%,01
Samba (22),270503,60534,22.38%,26253,9.71%,37160,13.74%,53932,19.94%,54425,20.12%,25426,9.4%,11162,4.13%,1611,0.6%,01
All India,886692406,316795697,35.73%,123835207,13.97%,157572788,17.77%,119909955,13.52%,85021861,9.59%,48018733,5.42%,30589123,3.45%,4744685,0.54%,02
North Zone Total,47662769,15663982,32.86%,4976876,10.44%,7640609,16.03%,6669481,13.99%,6633303,13.92%,3984533,8.36%,1767999,3.71%,325371,0.68%,02
State Total,5940056,1309180,22.04%,597483,10.06%,1044664,17.59%,905113,15.24%,1052768,17.72%,677185,11.4%,309059,5.2%,44562,0.75%,02
Chamba (01),469553,151060,32.17%,53655,11.43%,92957,19.8%,63821,13.59%,58914,12.55%,35628,7.59%,11556,2.46%,1957,0.42%,02
Kangra (02),1375738,262132,19.05%,121814,8.85%,234332,17.03%,213580,15.52%,271176,19.71%,181319,13.18%,80418,5.85%,10945,0.8%,02
LahulSpiti (03),29332,6515,22.21%,3776,12.87%,5042,17.19%,4011,13.67%,3934,13.41%,3557,12.13%,2378,8.11%,119,0.41%,02
Kullu (04),384540,98844,25.7%,46696,12.14%,73862,19.21%,58138,15.12%,52691,13.7%,34457,8.96%,18022,4.69%,1830,0.48%,02
Mandi (05),920413,211109,22.94%,95810,10.41%,152709,16.59%,125350,13.62%,167791,18.23%,117974,12.82%,42362,4.6%,7303,0.79%,02
Hamirpur (06),419738,69447,16.55%,35013,8.34%,67282,16.03%,68250,16.26%,85371,20.34%,59401,14.15%,30420,7.25%,4552,1.08%,02
Una (07),467505,79113,16.92%,48055,10.28%,82003,17.54%,75426,16.13%,96928,20.73%,55232,11.81%,26691,5.71%,4057,0.87%,02
Bilaspur (08),332006,63599,19.16%,33872,10.2%,56734,17.09%,50761,15.29%,60979,18.37%,42202,12.71%,21446,6.46%,2413,0.73%,02
Solan (09),444062,93770,21.12%,43165,9.72%,79869,17.99%,73794,16.62%,80401,18.11%,46627,10.5%,22316,5.03%,4120,0.93%,02
Sirmaur (10),453638,133499,29.43%,52397,11.55%,92959,20.49%,70475,15.54%,57785,12.74%,30406,6.7%,13980,3.08%,2137,0.47%,02
Shimla (11),567159,123148,21.71%,53830,9.49%,93166,16.43%,90070,15.88%,105658,18.63%,62511,11.02%,34352,6.06%,4416,0.78%,02
Kinnaur (12),76372,16944,22.19%,9400,12.31%,13749,18%,11437,14.98%,11140,14.59%,7871,10.31%,5118,6.7%,713,0.93%,02
All India,886692406,316795697,35.73%,123835207,13.97%,157572788,17.77%,119909955,13.52%,85021861,9.59%,48018733,5.42%,30589123,3.45%,4744685,0.54%,03
North Zone Total,47662769,15663982,32.86%,4976876,10.44%,7640609,16.03%,6669481,13.99%,6633303,13.92%,3984533,8.36%,1767999,3.71%,325371,0.68%,03
State Total,16864339,5372292,31.86%,1664615,9.87%,2918580,17.31%,2323743,13.78%,2522688,14.96%,1442005,8.55%,509388,3.02%,111026,0.66%,03
