District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,01
North Zone Total,9104338,40686145.69,4695989,51.58%,4406332,48.4%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%,01
State Total,1601606,3543854.23,1242506,77.58%,359099,22.42%,1863813.6,52.59%,882697.77,24.91%,797441.41,22.5%,27566,1.72%,53516,3.34%,12472,0.78%,01
Kupwara (01),107636,598895.25,82939,77.06%,24696,22.94%,336409.42,56.17%,42479.09,7.09%,220006.74,36.74%,1198,1.11%,1112,1.03%,410,0.38%,01
Badgam (02),97773,122246.78,71694,73.33%,26079,26.67%,49421.51,40.43%,41895.32,34.27%,30929.94,25.3%,1161,1.19%,1145,1.17%,348,0.36%,01
Leh(Ladakh) (03),17723,139724.36,12531,70.7%,5192,29.3%,78775.04,56.38%,4796.25,3.43%,56153.07,40.19%,482,2.72%,181,1.02%,299,1.69%,01
Kargil (04),15923,46353.27,9603,60.31%,6320,39.69%,10869.97,23.45%,13447.08,29.01%,22036.22,47.54%,90,0.57%,64,0.4%,67,0.42%,01
Punch (05),81685,133507.73,73437,89.9%,8248,10.1%,69099.98,51.76%,39753.59,29.78%,24654.17,18.47%,1016,1.24%,2998,3.67%,419,0.51%,01
Rajouri (06),127822,368951.01,120447,94.23%,7375,5.77%,266019.16,72.1%,60798.14,16.48%,42224,11.44%,3654,2.86%,2735,2.14%,1306,1.02%,01
Kathua (07),99768,153729.65,66356,66.51%,33412,33.49%,85128.71,55.38%,54835.79,35.67%,13765.14,8.95%,2169,2.17%,5131,5.14%,1064,1.07%,01
