District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,01
North Zone Total,9104338,3252838,317657,174705,154300,20997,1418955,1405927,1667430,3.49%,1.92%,1.69%,0.23%,15.59%,15.44%,18.31%,962128,952736,561953,120781,20657,3130,189,10.57%,10.46%,6.17%,1.33%,0.23%,0.03%,0%,631264,6.93%,01
State Total,1601606,825940,119436,29333,26517,5713,252997,403130,123764,7.46%,1.83%,1.66%,0.36%,15.8%,25.17%,7.73%,309638,196914,64290,13226,2023,243,11,19.33%,12.29%,4.01%,0.83%,0.13%,0.02%,0%,239595,14.96%,01
Kupwara (01),107636,60440,3097,1429,1018,715,7407,30770,9800,2.88%,1.33%,0.95%,0.66%,6.88%,28.59%,9.1%,24427,11440,1859,290,36,2,0,22.69%,10.63%,1.73%,0.27%,0.03%,0%,0%,22386,20.8%,01
Badgam (02),97773,40911,1955,1092,792,157,2190,25139,9935,2%,1.12%,0.81%,0.16%,2.24%,25.71%,10.16%,19838,8098,1294,285,36,4,0,20.29%,8.28%,1.32%,0.29%,0.04%,0%,0%,11356,11.61%,01
Leh(Ladakh) (03),17723,3839,346,410,442,44,3469,1534,288,1.95%,2.31%,2.49%,0.25%,19.57%,8.66%,1.63%,1886,1132,435,188,53,9,1,10.64%,6.39%,2.45%,1.06%,0.3%,0.05%,0.01%,135,0.76%,01
Kargil (04),15923,5867,1378,222,223,26,5726,2060,441,8.65%,1.39%,1.4%,0.16%,35.96%,12.94%,2.77%,2783,2063,795,156,28,3,0,17.48%,12.96%,4.99%,0.98%,0.18%,0.02%,0%,39,0.24%,01
Punch (05),81685,58521,7764,2199,3992,543,24710,26933,2660,9.5%,2.69%,4.89%,0.66%,30.25%,32.97%,3.26%,22607,14823,4134,832,136,23,0,27.68%,18.15%,5.06%,1.02%,0.17%,0.03%,0%,15966,19.55%,01
Rajouri (06),127822,82700,23482,3956,3539,606,46122,39267,1648,18.37%,3.09%,2.77%,0.47%,36.08%,30.72%,1.29%,27115,25077,10856,1696,354,37,1,21.21%,19.62%,8.49%,1.33%,0.28%,0.03%,0%,17564,13.74%,01
Kathua (07),99768,47207,9317,2202,1753,250,19785,19196,10310,9.34%,2.21%,1.76%,0.25%,19.83%,19.24%,10.33%,15037,11883,5593,1452,253,24,2,15.07%,11.91%,5.61%,1.46%,0.25%,0.02%,0%,12963,12.99%,01
Baramula (08),123540,51230,1518,1401,986,250,2984,25633,14502,1.23%,1.13%,0.8%,0.2%,2.42%,20.75%,11.74%,22085,9825,1497,234,20,2,0,17.88%,7.95%,1.21%,0.19%,0.02%,0%,0%,17567,14.22%,01
Bandipore (09),47848,22935,1362,480,370,156,6491,13824,4478,2.85%,1%,0.77%,0.33%,13.57%,28.89%,9.36%,10061,5867,1488,186,28,3,0,21.03%,12.26%,3.11%,0.39%,0.06%,0.01%,0%,5302,11.08%,01
Srinagar (10),4304,715,57,8,12,0,226,459,109,1.32%,0.19%,0.28%,0%,5.25%,10.66%,2.53%,236,216,65,2,0,0,0,5.48%,5.02%,1.51%,0.05%,0%,0%,0%,196,4.55%,01
Ganderbal (11),40450,17105,1282,365,264,82,6371,10615,5501,3.17%,0.9%,0.65%,0.2%,15.75%,26.24%,13.6%,5763,4791,2095,678,24,3,0,14.25%,11.84%,5.18%,1.68%,0.06%,0.01%,0%,3751,9.27%,01
Pulwama (12),79308,34464,1912,885,581,348,2599,14895,8642,2.41%,1.12%,0.73%,0.44%,3.28%,18.78%,10.9%,13009,5490,1451,343,26,3,0,16.4%,6.92%,1.83%,0.43%,0.03%,0%,0%,14142,17.83%,01
Shupiyan (13),42691,23267,2297,490,356,204,677,12537,3225,5.38%,1.15%,0.83%,0.48%,1.59%,29.37%,7.55%,10268,3333,759,121,17,1,0,24.05%,7.81%,1.78%,0.28%,0.04%,0%,0%,8768,20.54%,01
Anantnag (14),123476,61281,5523,1762,1336,364,11925,31899,14177,4.47%,1.43%,1.08%,0.29%,9.66%,25.83%,11.48%,21843,14181,4327,831,82,11,0,17.69%,11.48%,3.5%,0.67%,0.07%,0.01%,0%,20006,16.2%,01
Kulgam (15),61426,38086,4834,924,613,157,3768,20869,5789,7.87%,1.5%,1%,0.26%,6.13%,33.97%,9.42%,15162,6306,2312,506,38,5,0,24.68%,10.27%,3.76%,0.82%,0.06%,0.01%,0%,13757,22.4%,01
Doda (16),74110,51302,10129,2075,1538,268,13327,22685,919,13.67%,2.8%,2.08%,0.36%,17.98%,30.61%,1.24%,19638,10297,2836,450,73,6,0,26.5%,13.89%,3.83%,0.61%,0.1%,0.01%,0%,18002,24.29%,01
